"Version (0 = Fixed Task)","Task","Concept","Att 1 - Panel Efficiency","Att 2 - Panel Visibility","Att 3 - Inverter Type","Att 4 - Failure in First Five Years","Att 5 - Environmental Benefits","Att 6 - Savings in 25 Years"
7,10,2,1,1,1,1,2,5
7,10,3,2,1,2,2,1,3
7,11,1,2,2,1,3,3,4
7,11,2,3,1,3,1,2,2
7,11,3,1,2,1,4,1,2
7,12,1,2,2,2,3,2,1
7,12,2,3,1,1,4,3,2
7,12,3,1,1,3,4,3,1
7,13,1,1,1,2,2,2,4
7,13,2,2,2,1,4,1,5
7,13,3,2,2,3,1,3,5
7,14,1,3,2,2,2,3,1
7,14,2,3,1,3,1,2,3
7,14,3,2,1,1,3,1,1
7,15,1,3,2,2,4,2,3
7,15,2,1,1,3,2,1,4
7,15,3,3,1,1,3,2,5
8,1,1,1,1,3,3,1,2
8,1,2,1,2,1,1,2,2
8,1,3,3,2,2,1,1,4
8,2,1,1,2,3,4,3,3
8,2,2,2,1,1,2,3,5
8,2,3,2,1,1,3,1,4
8,3,1,1,2,2,4,1,1
8,3,2,3,1,2,3,3,2
8,3,3,2,2,3,2,2,2
8,4,1,2,2,2,4,3,3
8,4,2,1,1,3,1,2,2
8,4,3,3,2,1,2,1,1
8,5,1,1,1,3,3,2,4
8,5,2,3,1,1,1,3,5
8,5,3,2,1,2,2,1,3
8,6,1,3,2,1,1,1,2
8,6,2,2,2,3,4,2,1
8,6,3,1,2,2,2,2,1
8,7,1,3,1,2,4,3,4
8,7,2,2,2,3,3,1,5
8,7,3,1,2,1,1,1,3
8,8,1,3,1,3,3,2,4
8,8,2,2,1,1,2,3,4
8,8,3,1,1,2,1,2,5
8,9,1,1,2,2,3,3,4
8,9,2,3,1,3,4,3,5
8,9,3,2,2,2,3,1,3
8,10,1,3,1,1,2,3,1
8,10,2,1,1,2,1,1,1
8,10,3,2,2,3,3,2,2
8,11,1,3,2,1,1,1,5
8,11,2,1,1,1,4,2,5
8,11,3,1,2,2,2,3,3
8,12,1,2,2,3,4,3,2
8,12,2,2,1,1,1,2,1
8,12,3,3,1,2,4,1,3
8,13,1,2,2,3,4,2,2
8,13,2,1,2,1,2,1,3
8,13,3,2,1,3,1,3,4
8,14,1,2,2,2,1,3,2
8,14,2,2,1,3,2,2,2
8,14,3,3,1,2,3,1,1
8,15,1,3,2,1,4,1,5
8,15,2,1,2,1,2,2,5
8,15,3,1,1,3,1,3,4
9,1,1,3,1,3,3,2,3
9,1,2,3,1,3,3,1,5
9,1,3,1,2,1,2,3,4
9,2,1,2,2,1,1,1,1
9,2,2,2,1,1,4,1,1
9,2,3,1,2,2,4,2,3
9,3,1,3,2,3,2,1,4
9,3,2,3,1,2,2,3,3
9,3,3,1,2,2,3,3,5
9,4,1,2,1,2,2,2,2
9,4,2,1,1,3,3,3,3
9,4,3,3,1,1,4,2,1
9,5,1,3,2,3,1,2,4
9,5,2,2,1,3,1,1,5
9,5,3,1,2,1,1,3,4
9,6,1,2,2,2,4,3,1
9,6,2,1,1,1,2,3,2
9,6,3,3,2,2,4,1,2
9,7,1,2,2,1,3,2,3
9,7,2,3,1,3,3,1,5
9,7,3,1,2,2,2,2,5
9,8,1,2,1,2,1,1,1
9,8,2,3,2,1,4,2,3
9,8,3,1,1,3,3,3,1
9,9,1,3,2,1,3,2,3
9,9,2,1,2,3,3,1,4
9,9,3,2,1,2,2,2,5
9,10,1,1,2,1,4,1,2
9,10,2,2,2,3,2,3,3
9,10,3,3,1,2,1,3,4
9,11,1,1,1,2,4,1,1
9,11,2,2,2,1,1,3,1
9,11,3,2,1,3,4,1,2
9,12,1,1,1,2,2,2,5
9,12,2,3,2,3,1,2,4
9,12,3,1,1,1,4,3,5
9,13,1,3,1,3,3,2,2
9,13,2,3,2,2,2,3,2
9,13,3,2,1,2,1,3,4
9,14,1,2,2,1,1,1,3
9,14,2,1,2,1,3,1,4
9,14,3,2,1,2,4,2,2
9,15,1,3,1,1,1,3,3
9,15,2,2,1,3,2,1,4
9,15,3,3,2,3,4,1,5
10,1,1,3,2,3,1,2,1
10,1,2,1,1,1,3,2,2
10,1,3,3,2,1,3,3,1
10,2,1,1,2,2,2,1,5
10,2,2,1,1,3,4,3,4
10,2,3,2,2,3,2,2,3
10,3,1,1,2,2,3,2,4
10,3,2,2,1,3,1,1,3
10,3,3,3,1,1,3,3,5
10,4,1,3,2,2,1,2,2
10,4,2,2,1,2,2,1,1
10,4,3,1,1,3,4,1,1
10,5,1,3,1,1,2,3,2
10,5,2,2,2,1,1,2,1
10,5,3,1,2,2,4,2,1
10,6,1,2,1,2,3,3,4
10,6,2,1,2,3,3,3,5
10,6,3,3,1,1,3,1,3
10,7,1,2,2,2,4,3,5
10,7,2,1,1,1,2,2,3
10,7,3,3,2,3,2,1,4
10,8,1,1,1,1,1,2,4
10,8,2,1,2,3,4,3,2
10,8,3,3,1,2,1,1,3
10,9,1,3,1,2,4,1,4
10,9,2,2,2,1,2,3,2
10,9,3,2,2,3,3,3,2
10,10,1,3,1,1,1,1,5
10,10,2,1,1,2,2,3,5
10,10,3,2,2,3,4,2,5
10,11,1,1,2,3,1,3,1
10,11,2,3,2,2,3,2,1
10,11,3,2,1,3,3,1,2
10,12,1,1,2,2,1,3,2
10,12,2,3,2,3,2,1,1
10,12,3,2,1,1,4,2,3
10,13,1,3,2,1,3,2,1
10,13,2,3,1,2,2,1,1
10,13,3,2,1,1,4,2,3
10,14,1,1,1,3,1,3,4
10,14,2,3,2,2,3,2,3
10,14,3,2,2,1,4,1,4
10,15,1,2,2,3,2,2,5
10,15,2,1,1,3,2,1,3
10,15,3,1,2,1,4,3,5
11,1,1,1,2,1,1,1,3
11,1,2,3,1,2,1,2,2
11,1,3,1,1,2,3,2,1
11,2,1,2,1,1,3,3,2
11,2,2,3,2,2,1,1,4
11,2,3,1,1,3,4,2,4
11,3,1,3,1,3,2,3,5
11,3,2,2,1,2,3,3,5
11,3,3,1,2,1,2,1,3
11,4,1,2,2,3,2,1,1
11,4,2,2,2,2,2,2,2
11,4,3,3,1,1,4,3,1
11,5,1,2,1,2,3,3,4
11,5,2,3,2,1,4,3,3
11,5,3,3,2,3,1,1,5
11,6,1,1,1,1,2,2,2
11,6,2,1,2,2,4,1,2
11,6,3,2,2,3,1,2,4
11,7,1,2,1,1,2,2,1
11,7,2,1,2,3,3,1,1
11,7,3,3,1,2,1,3,3
11,8,1,3,2,2,4,2,4
11,8,2,2,1,2,3,1,5
11,8,3,1,2,3,4,3,4
11,9,1,2,2,2,1,3,2
11,9,2,1,1,1,3,1,2
11,9,3,2,1,3,4,2,3
11,10,1,3,2,1,3,3,3
11,10,2,3,1,3,2,1,5
11,10,3,1,1,1,1,2,5
11,11,1,3,2,2,3,1,2
11,11,2,2,1,3,2,1,2
11,11,3,1,2,3,1,2,1
11,12,1,3,1,1,3,1,4
11,12,2,2,1,1,4,2,4
11,12,3,1,2,2,1,3,3
11,13,1,3,1,2,4,3,2
11,13,2,2,2,3,2,3,1
11,13,3,1,1,1,2,2,3
11,14,1,2,2,1,1,3,5
11,14,2,1,1,2,2,2,4
11,14,3,3,1,3,4,2,5
11,15,1,1,2,3,3,3,2
11,15,2,2,1,3,1,3,3
11,15,3,3,2,1,3,1,1
12,1,1,1,1,1,4,2,4
12,1,2,2,2,2,4,1,5
12,1,3,2,2,2,3,1,5
12,2,1,3,2,2,2,2,4
12,2,2,1,1,3,4,1,2
12,2,3,3,1,1,2,3,3
12,3,1,3,2,3,2,2,3
12,3,2,2,1,1,3,3,1
12,3,3,1,2,2,1,1,1
12,4,1,3,1,2,4,2,1
12,4,2,1,2,1,3,3,2
12,4,3,2,1,2,1,1,1
12,5,1,1,1,3,1,3,1
12,5,2,3,2,3,3,1,3
12,5,3,2,2,1,2,2,2
12,6,1,2,2,1,3,3,5
12,6,2,1,1,2,4,1,5
12,6,3,3,2,1,1,2,4
12,7,1,3,1,3,4,3,4
12,7,2,3,2,3,1,2,5
12,7,3,1,1,2,1,1,4
12,8,1,1,2,3,2,3,2
12,8,2,2,1,1,2,1,1
12,8,3,2,2,2,3,2,2
12,9,1,2,2,2,2,3,5
12,9,2,3,1,3,3,1,5
12,9,3,1,1,2,4,2,3
12,10,1,2,1,3,4,3,3
12,10,2,3,2,3,1,2,2
12,10,3,3,1,1,2,1,1
12,11,1,2,2,1,4,1,4
12,11,2,1,2,2,2,3,4
12,11,3,1,1,2,3,2,5
12,12,1,1,2,1,3,1,3
12,12,2,2,2,3,1,2,1
12,12,3,3,1,1,1,3,3
